hidden_dims,dropout,lr,weight_decay,batch_size,epoch,train_loss,val_loss,train_RMSE,val_RMSE
"[128, 64]",0.1,0.001,0.0001,512,1,37651.1875,4357.5673828125,194.03913909312215,66.01187304426757
"[128, 64]",0.1,0.001,0.0001,512,2,8638.9228515625,1796.4205322265625,92.94580599232275,42.38420288618007
"[128, 64]",0.1,0.001,0.0001,512,3,6897.115234375,1170.4400634765625,83.04887256534552,34.21169126681605
"[128, 64]",0.1,0.001,0.0001,512,4,6404.6787109375,1157.479248046875,80.02923965163451,34.021746693062
"[128, 64]",0.1,0.001,0.0001,512,5,6174.72216796875,1158.0159912109375,78.57940351167092,34.029632221648015
"[128, 64]",0.1,0.001,0.0001,512,6,5973.544921875,1162.9588623046875,77.28871147764724,34.10218266188672
"[128, 64]",0.1,0.001,0.0001,512,7,5805.81298828125,1163.048095703125,76.19588563880106,34.103490960649836
"[128, 64]",0.1,0.001,0.0001,512,8,5655.95263671875,1174.3121337890625,75.20606781848623,34.26823797321745
"[128, 64]",0.1,0.001,0.0001,512,9,5484.93212890625,1215.3577880859375,74.06033092815275,34.861980236579
"[128, 64]",0.1,0.001,0.0001,512,10,5368.32568359375,1226.1885986328125,73.2688622258801,35.016974120596146
"[128, 64]",0.1,0.001,0.0001,512,11,5185.74658203125,1238.7626953125,72.01213141070399,35.19606079254467
"[128, 64]",0.1,0.001,0.0001,512,12,5024.5478515625,1240.9990234375,70.88404511286373,35.22781604694648
"[128, 64]",0.1,0.001,0.0001,512,13,4863.8369140625,1314.905029296875,69.7412208856785,36.26161923159079
"[128, 64]",0.1,0.001,0.0001,512,14,4701.73193359375,1308.4013671875,68.56917982501322,36.17183112848311
"[128, 64]",0.1,0.001,0.0001,512,15,4517.82666015625,1369.6072998046875,67.21478007221515,37.00820584417309
"[256, 128]",0.2,0.001,0.0001,512,1,13930.6083984375,3887.66064453125,118.02800664063805,62.35110780516454
"[256, 128]",0.2,0.001,0.0001,512,2,6712.1337890625,1115.39599609375,81.92761608483278,33.39754476146039
"[256, 128]",0.2,0.001,0.0001,512,3,6247.6494140625,1151.3511962890625,79.04207060661588,33.93156636951885
"[256, 128]",0.2,0.001,0.0001,512,4,5935.3779296875,1154.60302734375,77.04140399608187,33.97945007418087
"[256, 128]",0.2,0.001,0.0001,512,5,5723.32666015625,1174.11376953125,75.65267120304642,34.26534178234528
"[256, 128]",0.2,0.001,0.0001,512,6,5424.5703125,1241.5145263671875,73.65168234670543,35.23513199020528
"[256, 128]",0.2,0.001,0.0001,512,7,5235.95263671875,1214.8642578125,72.35987941143559,34.85490292358451
"[256, 128]",0.2,0.001,0.0001,512,8,4923.6591796875,1306.6787109375,70.16879063862723,36.14801116157707
"[256, 128]",0.2,0.001,0.0001,512,9,4597.6005859375,1364.420654296875,67.80560880884043,36.938065113062905
"[256, 128]",0.2,0.001,0.0001,512,10,4297.82958984375,1367.5390625,65.55782648380932,36.980253981960594
"[256, 128]",0.2,0.001,0.0001,512,11,3968.539794921875,1448.8756103515625,62.99634747286445,38.064100310159375
"[256, 128]",0.2,0.001,0.0001,512,12,3668.9208984375,1483.960693359375,60.571617928180686,38.522211974777456
"[256, 128]",0.2,0.001,0.0001,512,13,3268.216552734375,1440.3778076171875,57.16831773573869,37.95231286440673
"[256, 128]",0.2,0.001,0.0001,512,14,2959.144775390625,1549.8731689453125,54.39802404068782,39.368428581101796
"[256, 128]",0.2,0.001,0.0001,512,15,2710.078369140625,1547.261474609375,52.0584153934909,39.33524158396323
"[128, 64, 32]",0.2,0.0005,0.0001,512,1,56642.16796875,4406.66552734375,237.99615116373207,66.382720095999
"[128, 64, 32]",0.2,0.0005,0.0001,512,2,11782.0439453125,3317.939453125,108.54512400523802,57.601561970195306
"[128, 64, 32]",0.2,0.0005,0.0001,512,3,7227.12646484375,1267.5076904296875,85.012504824658,35.60207424335958
"[128, 64, 32]",0.2,0.0005,0.0001,512,4,6656.81689453125,1138.870849609375,81.58932149989053,33.747162424116304
"[128, 64, 32]",0.2,0.0005,0.0001,512,5,6480.1611328125,1128.6134033203125,80.49944802799892,33.59484009859252
"[128, 64, 32]",0.2,0.0005,0.0001,512,6,6316.50830078125,1090.6734619140625,79.4764638165366,33.02534759823695
"[128, 64, 32]",0.2,0.0005,0.0001,512,7,6268.7099609375,1086.4677734375,79.17518834343717,32.961610601387484
"[128, 64, 32]",0.2,0.0005,0.0001,512,8,6127.41552734375,1081.91357421875,78.27780992940305,32.89245281441379
"[128, 64, 32]",0.2,0.0005,0.0001,512,9,5804.21533203125,1176.7537841796875,76.18540104266204,34.3038468141694
"[128, 64, 32]",0.2,0.0005,0.0001,512,10,5734.56689453125,1128.5152587890625,75.72692318146333,33.59338117530093
"[128, 64, 32]",0.2,0.0005,0.0001,512,11,5723.333984375,1087.468505859375,75.65272283702848,32.97678923014925
"[128, 64, 32]",0.2,0.0005,0.0001,512,12,5458.5849609375,1137.5389404296875,73.88223711378467,33.72742300413715
"[128, 64, 32]",0.2,0.0005,0.0001,512,13,5285.17578125,1233.0362548828125,72.69921780549808,35.114615972310055
"[128, 64, 32]",0.2,0.0005,0.0001,512,14,5180.6591796875,1216.4130859375,71.97679951184791,34.87711407122872
"[128, 64, 32]",0.2,0.0005,0.0001,512,15,5063.90966796875,1164.70947265625,71.1611528010104,34.12784014051065
