model,split,MAE,RMSE,R2
Linear Regression,train,30.705199659089935,93.52302790456135,0.8905938873172627
Linear Regression,val,12.928406172051272,42.758623234050816,0.6953987709581427
Linear Regression,test,11.17691622719743,33.00727508750639,0.7083062856636297
Random Forest (baseline),train,8.761960923285864,25.122147961893283,0.9921056203658631
Random Forest (baseline),val,9.670127849259856,32.8663920818231,0.8200349013057046
Random Forest (baseline),test,7.595151925921713,23.635350607966114,0.850434363541925
Random Forest (tuned),train,6.205650439735899,19.247128500004308,0.995366209863814
Random Forest (tuned),val,9.433590052616676,32.22613514401845,0.8269782608025525
Random Forest (tuned),test,7.476971028955562,23.443337969830164,0.8528546228362537
XGBoost (baseline),train,12.735774993896484,34.24187111278657,0.9853337407112122
XGBoost (baseline),val,8.53098201751709,29.374140820214322,0.8562477827072144
XGBoost (baseline),test,7.34176778793335,22.480466374348268,0.8646935820579529
XGBoost (tuned),train,10.873805046081543,28.191716659040004,0.9900586009025574
XGBoost (tuned),val,8.34028148651123,28.799708640426164,0.8618151545524597
XGBoost (tuned),test,7.147760391235352,22.02749649430549,0.8700913786888123
Random Forest (baseline),train,8.761960923285864,25.122147961893283,0.9921056203658631
Random Forest (baseline),val,9.670127849259854,32.8663920818231,0.8200349013057046
Random Forest (baseline),test,7.595151925921714,23.635350607966117,0.8504343635419249
Random Forest (tuned),train,6.205650439735899,19.24712850000431,0.995366209863814
Random Forest (tuned),val,9.433590052616676,32.22613514401845,0.8269782608025525
Random Forest (tuned),test,7.476971028955564,23.443337969830164,0.8528546228362536
XGBoost (baseline),train,12.735774993896484,34.24187111278657,0.9853337407112122
XGBoost (baseline),val,8.53098201751709,29.374140820214322,0.8562477827072144
XGBoost (baseline),test,7.34176778793335,22.480466374348268,0.8646935820579529
XGBoost (tuned),train,10.873805046081543,28.191716659040004,0.9900586009025574
XGBoost (tuned),val,8.34028148651123,28.799708640426164,0.8618151545524597
XGBoost (tuned),test,7.147760391235352,22.02749649430549,0.8700913786888123
