model_family,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,val_RMSE,search,colsample_bytree,learning_rate,min_child_weight,subsample
Random Forest,12,sqrt,1.0,2.0,200,34.52176346088674,random_forest,,,,
Random Forest,12,sqrt,1.0,2.0,400,34.54399222392958,random_forest,,,,
Random Forest,12,sqrt,1.0,10.0,200,35.25256187242319,random_forest,,,,
Random Forest,12,sqrt,1.0,10.0,400,35.14517833194895,random_forest,,,,
Random Forest,20,sqrt,1.0,2.0,200,33.97383590146742,random_forest,,,,
Random Forest,20,sqrt,1.0,2.0,400,34.00974255985851,random_forest,,,,
Random Forest,20,sqrt,1.0,10.0,200,34.642980795432436,random_forest,,,,
Random Forest,20,sqrt,1.0,10.0,400,34.378640224025304,random_forest,,,,
XGBoost,4,,,,300,34.51429695555072,xgboost,0.8,0.05,1.0,0.8
XGBoost,4,,,,500,32.91059740987696,xgboost,0.8,0.05,1.0,0.8
XGBoost,6,,,,300,30.782239435239884,xgboost,0.8,0.05,1.0,0.8
XGBoost,6,,,,500,30.456718377657456,xgboost,0.8,0.05,1.0,0.8
XGBoost,4,,,,300,34.38700252105165,xgboost,0.8,0.1,1.0,0.8
XGBoost,4,,,,500,33.46349383913573,xgboost,0.8,0.1,1.0,0.8
XGBoost,6,,,,300,30.99873595583173,xgboost,0.8,0.1,1.0,0.8
XGBoost,6,,,,500,31.14445555498452,xgboost,0.8,0.1,1.0,0.8
